Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
316	Citrus aurantium	fruit	fruit	Antifungal Agents	C0003308	D000935		Vol-6, P-511, RIMP
317	Coriandrum sativum	whole plant	herb	Anti-Bacterial Agents	C0279516	D000900		Vol-7, P-617, RIMP
318	Coriandrum sativum	seed	seed	Anti-Bacterial Agents	C0279516	D000900		Vol-7, P-617, RIMP
319	Coriandrum sativum	seed	seed	Antifungal Agents	C0003308	D000935		Vol-7, P-618, RIMP
320	Cuminum cyminum	seed	seed	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-259, RIMP
321	Cupressus torulosa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-283, RIMP
322	Curcuma amada	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-341, RIMP
323	Curcuma amada	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-341, RIMP
324	Curcuma amada	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-342, RIMP
325	Curcuma amada	rhizome	rhizome	Antinematodal Agents	C0003391			Vol-8, P-342, RIMP
326	Curcuma angustifolia	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-343, RIMP
327	Curcuma angustifolia	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-343, RIMP
328	Curcuma aromatica	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-345, RIMP
329	Curcuma aromatica	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-345, RIMP
330	Curcuma caesia	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-346, RIMP
331	Curcuma caesia	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-346, RIMP
332	Curcuma longa	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		Vol-8, P-348, RIMP
333	Curcuma longa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-364, RIMP
334	Curcuma longa	leaf	leaf	Bactericidal activity	C0544570			Vol-8, P-365, RIMP
335	Curcuma longa	rhizome	rhizome	Bactericidal activity	C0544570			Vol-8, P-365, RIMP
336	Curcuma longa	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-366, RIMP
337	Curcuma longa	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-367, RIMP
338	Curcuma longa	leaf	leaf	Fungicide	C1321381		XM83G4	Vol-8, P-368, RIMP
339	Curcuma longa	rhizome	rhizome	Fungicide	C1321381		XM83G4	Vol-8, P-368, RIMP
340	Curcuma zedoaria	rhizome	rhizome	Carminative			XM5TC9	Vol-8, P-372, RIMP
341	Curcuma zedoaria	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-373, RIMP
342	Curcuma zedoaria	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-374, RIMP
343	Curcuma zedoaria	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-374, RIMP
344	Cymbopogon citratus	leaf	leaf	Cytotoxin	C0010868	D003603		Vol-8, P-565, RIMP
345	Cymbopogon citratus	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-565, RIMP
346	Cymbopogon citratus	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-524, RIMP
347	Cymbopogon citratus	leaf	leaf	Antiviral Agents	C0003451	D000998		Vol-8, P-567, RIMP
348	Cymbopogon jwarancusa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-571, RIMP
349	Cymbopogon martini	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-573, RIMP
350	Cymbopogon martini	leaf	leaf	Antihelmintics	C0003158	D000871	XM4EC0	Vol-8, P-574, RIMP
351	Decalepis hamiltonii	root	root	Antimicrobial activity function	C1321418	D000890		Vol-9, P-198, RIMP
352	Elettaria cardamomum	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		Vol-10, P-187, RIMP
353	Elettaria cardamomum	fruit	fruit	Antifungal Agents	C0003308	D000935		Vol-10, P-188, RIMP
354	Elsholtzia fruticosa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-10, P-247, RIMP
355	Elsholtzia fruticosa	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-10, P-247, RIMP
356	Eucalyptus globulus	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-10, P-757, RIMP
357	Limonia acidissima	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-11, P-80, RIMP
358	Limonia acidissima	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-11, P-81, RIMP
359	Limonia acidissima	leaf	leaf	Antihelmintics	C0003158	D000871	XM4EC0	Vol-11, P-82, RIMP
360	Hedychium coronarium	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-12, P-106, RIMP
361	Hedychium coronarium	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-12, P-106, RIMP
362	Hedychium coronarium	rhizome	rhizome	Antihelmintics	C0003158	D000871	XM4EC0	Vol-12, P-107, RIMP
363	Hedychium larsenii	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-12, P-107, RIMP
364	Hedychium spicatum	rhizome	rhizome	Tranquilizing Agents	C0040614	D014149		Vol-12, P-109, RIMP
365	Hedychium spicatum	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-12, P-113, RIMP
366	Hedychium spicatum	rhizome	rhizome	Antihelmintics	C0003158	D000871	XM4EC0	Vol-12, P-114, RIMP
367	Hedychium spicatum	rhizome	rhizome	Pediculicide [EPC- FDA SPL established pharmacologic class]	C3536707			Vol-12, P-114, RIMP
368	Tetrataenium aquilegifolium	fruit	fruit	antioxidant activity	C1148564	D000975		Vol-12, P-383, RIMP
369	Tetrataenium rigens	seed	seed	Anti-Bacterial Agents	C0279516	D000900		Vol-12, P-386, RIMP
370	Semenovia thomsonii	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		Vol-12, P-387, RIMP
371	Semenovia thomsonii	aerial part	aerial part	Antifungal Agents	C0003308	D000935		Vol-12, P-388, RIMP
372	Homalomena aromatica	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-12, P-726, RIMP
373	Hyptis suaveolens	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		Vol-12, P-1038, RIMP
374	Inula cuspidata	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-13, P-139, RIMP
375	Inula racemosa	root	root	Anti-Bacterial Agents	C0279516	D000900		Vol-13, P-144, RIMP
376	Inula racemosa	root	root	Antifungal Agents	C0003308	D000935		Vol-13, P-145, RIMP
377	Inula racemosa	root	root	Antihelmintics	C0003158	D000871	XM4EC0	Vol-13, P-145, RIMP
378	Jasminum sambac	flower	flower	Anti-Bacterial Agents	C0279516	D000900		Vol-13, P-384, RIMP
379	Jatropha curcas	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-13, P-423, RIMP
380	Juniperus communis	leaf	leaf	Fungistat	C1529011			Vol-13, P-493, RIMP
381	Juniperus communis	leaf	leaf	Fungicide	C1321381		XM83G4	Vol-13, P-493, RIMP
382	Juniperus communis	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-13, P-493, RIMP
383	Lantana indica	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-14, P-137, RIMP
384	Lavandula angustifolia	flower	flower	Anxiolytics [TC-therapeutic category]	C4722091	D014151		Vol-14, P-233, RIMP
385	Lavandula angustifolia	flower	flower	Anti-Bacterial Agents	C0279516	D000900		Vol-14, P-234, RIMP
386	Lavandula bipinnata	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-14, P-234, RIMP
387	Lavandula bipinnata	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-14, P-235, RIMP
388	Lavandula bipinnata	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-14, P-235, RIMP
389	Leucas aspera	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-14, P-461, RIMP
390	Lindera pulcherrima	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-14, P-570, RIMP
391	Lindera pulcherrima	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-14, P-570, RIMP
392	Litsea cubeba	fruit	fruit	Antifungal Agents	C0003308	D000935		Vol-14, P-655, RIMP
394	Melaleuca leucadendra	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-15, P-564, RIMP
395	Mesua ferrea	flower	flower	Anti-Bacterial Agents	C0279516	D000900		Vol-15, P-938, RIMP
396	Myrica esculenta	bark	stem bark	Anti-Bacterial Agents	C0279516	D000900		Vol-16, P-1004, RIMP
397	Myrica esculenta	bark	stem bark	Antifungal Agents	C0003308	D000935		Vol-16, P-1004, RIMP
398	Myristica fragrans	leaf	leaf	Anticancer agents			XM9F82	Vol-16, P-1063, RIMP
399	Neolitsea fischeri	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-17, P-171, RIMP
400	Neolitsea fischeri	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		Vol-17, P-171, RIMP
401	Neolitsea pallens	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-17, P-171, RIMP
402	Neolitsea pallens	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-17, P-171, RIMP
403	Nepeta ciliaris	aerial part	aerial part	Antifungal Agents	C0003308	D000935		Vol-17, P-213, RIMP
404	Nepeta clarkei	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		Vol-17, P-214, RIMP
405	Nepeta coerulescens	leaf	leaf	Antimicrobial activity function	C1321418	D000890		Vol-17, P-214, RIMP
406	Nepeta hindostana	leaf	leaf	Fungicide	C1321381		XM83G4	Vol-17, P-219, RIMP
407	Ocimum kilimandscharicum	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-18, P-175, RIMP
408	Ocimum tenuiflorum	aerial part	aerial part	Cytotoxin	C0010868	D003603		Vol-18, P-187, RIMP
409	Origanum vulgare	aerial part	aerial part	antioxidant activity	C1148564	D000975		Vol-18, P-591, RIMP
410	Origanum vulgare	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-18, P-592, RIMP
411	Origanum vulgare	aerial part	aerial part	Antifungal Agents	C0003308	D000935		Vol-18, P-593, RIMP
412	Orthosiphon thymiflorus	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-18, P-676, RIMP
413	Pelargonium graveolens	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		Vol-19, P-634, RIMP
414	Pelargonium graveolens	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-19, P-636, RIMP
415	Pentanema indicum	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-19, P-727, RIMP
416	Pentanema indicum	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-19, P-728, RIMP
417	Persicaria hydropiper	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-19, P-900, RIMP
418	Persicaria hydropiper	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-19, P-900, RIMP
419	Pimenta dioica	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-20, P-526, RIMP
420	Pimenta dioica	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-20, P-528, RIMP
421	Pimenta dioica	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-20, P-529, RIMP
422	Pinus roxburghii	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-20, P-610, RIMP
423	Piper betle	leaf	leaf	Antihelmintics	C0003158	D000871	XM4EC0	Vol-20, P-850, RIMP
424	Piper betle	leaf	leaf	Anti-infective antiprotozoal	C0003416	D000981	XM4GE4	Vol-20, P-849, RIMP
425	Piper betle	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-20, P-849, RIMP
426	Piper cubeba	fruit	fruit	Antihelmintics	C0003158	D000871	XM4EC0	Vol-20, P-851, RIMP
427	Piper longum	fruit	fruit	Antinematodal Agents	C0003391			Vol-20, P-863, RIMP
428	Pistacia chinensis	gall	gall	Anti-infective antiprotozoal	C0003416	D000981	XM4GE4	Vol-21, P-34, RIMP
429	Pistacia chinensis	gall	gall	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-34, RIMP
430	Pistacia chinensis	gall	gall	Antihelmintics	C0003158	D000871	XM4EC0	Vol-21, P-35, RIMP
431	Pittosporum viridulum	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-174, RIMP
432	Pittosporum viridulum	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-174, RIMP
433	Platycladus orientalis	fruit	fruit	antioxidant activity	C1148564	D000975		Vol-21, P-251, RIMP
434	Platycladus orientalis	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-251, RIMP
435	Platycladus orientalis	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-252, RIMP
436	Platycladus orientalis	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-21, P-253, RIMP
437	Plectranthus amboinicus	leaf	leaf	Anticancer agents			XM9F82	Vol-21, P-303, RIMP
438	Plectranthus amboinicus	leaf	leaf	Cytotoxin	C0010868	D003603		Vol-21, P-304, RIMP
439	Plectranthus amboinicus	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-21, P-306, RIMP
440	Plectranthus amboinicus	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-21, P-311, RIMP
441	Plectranthus mollis	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-319, RIMP
442	Plectranthus mollis	aerial part	aerial part	Antifungal Agents	C0003308	D000935		Vol-21, P-320, RIMP
443	Plectranthus vettiveroides	root	root	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-323, RIMP
444	Pleurospermum angelicoides	flower	flower	antioxidant activity	C1148564	D000975		Vol-21, P-371, RIMP
445	Pleurospermum angelicoides	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-21, P-371, RIMP
446	Pleurospermum angelicoides	root	root	antioxidant activity	C1148564	D000975		Vol-21, P-371, RIMP
447	Pleurospermum angelicoides	flower	flower	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-372, RIMP
448	Pleurospermum angelicoides	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-372, RIMP
449	Pleurospermum angelicoides	root	root	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-372, RIMP
450	Pleurospermum angelicoides	flower	flower	Antifungal Agents	C0003308	D000935		Vol-21, P-372, RIMP
451	Pleurospermum angelicoides	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-21, P-372, RIMP
452	Pleurospermum angelicoides	root	root	Antifungal Agents	C0003308	D000935		Vol-21, P-372, RIMP
453	Psidium guajava	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		Vol-22, P-239, RIMP
454	Psidium guajava	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-22, P-240, RIMP
455	Rosmarinus officinalis	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-23, P-707, RIMP
456	Ruta graveolens	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-23, P-983, RIMP
457	Blumea axillaris	leaf	leaf	Antiviral Agents	C0003451	D000998		Vol-4, P-268, RIMP
458	Cinnamomum verum	fruit	fruit	antioxidant activity	C1148564	D000975		Vol-6, P-327, RIMP
459	Cinnamomum verum	bark	bark	Anti-Bacterial Agents	C0279516	D000900		Vol-6, P-329, RIMP
460	Cinnamomum verum	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-6, P-330, RIMP
461	Cinnamomum verum	bark	bark	Antifungal Agents	C0003308	D000935		Vol-6, P-331, RIMP
462	Cinnamomum verum	bark	bark	ovicidal activity				Vol-6, P-332, RIMP
463	Corymbia citriodora	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-10, P-752, RIMP
464	Eucalyptus tereticornis	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-10, P-765, RIMP
465	Ayapana triplinervis	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-10, P-867, RIMP
466	Ayapana triplinervis	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-10, P-867, RIMP
467	Perilla frutescens	aerial part	aerial part	Antimicrobial activity function	C1321418	D000890		Vol-18, P-161, RIMP
468	Toddalia asiatica	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		Vol-19, P-466, RIMP
469	Toddalia asiatica	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-19, P-468, RIMP
470	Toddalia asiatica	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-19, P-470, RIMP
471	Isodon rugosus	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-21, P-321, RIMP
472	Isodon rugosus	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-21, P-321, RIMP
473	Scutellaria repens	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		Vol-24, P-887, RIMP
474	Saussurea costus	root	root	Antifungal Agents	C0003308	D000935		Vol-24, P-633, RIMP
475	Heptapleurum stellatum	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-24, P-703, RIMP
476	Heptapleurum stellatum	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-24, P-703, RIMP
477	Pentacalia amplexicaulis	root	root	antioxidant activity	C1148564	D000975		Vol-25, P- 199, RIMP
478	Synotis rufinervis	leaf	leaf	Analgesics		D000700		Vol-25, P- 204, RIMP
479	Synotis rufinervis	root	root	Anti-Bacterial Agents	C0279516	D000900		Vol-25, P- 204, RIMP
480	Synotis rufinervis	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-25, P- 204, RIMP
481	Synotis rufinervis	root	root	Antifungal Agents	C0003308	D000935		Vol-25, P- 204, RIMP
482	Synotis rufinervis	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-25, P- 204, RIMP
483	Skimmia laureola	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-25, P- 688, RIMP
484	Skimmia laureola	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-25, P- 688, RIMP
485	Selinum vaginatum	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		Vol-25, P-100, RIMP
486	Selinum vaginatum	root	root	Anti-Bacterial Agents	C0279516	D000900		Vol-25, P-100, RIMP
487	Senecio nudicaulis	aerial part	aerial part	antioxidant activity	C1148564	D000975		Vol-25, P- 203, RIMP
488	Senecio nudicaulis	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		Vol-25, P- 203, RIMP
489	Skimmia anquetilia	leaf	leaf	antioxidant activity	C1148564	D000975		Vol-25, P- 687, RIMP
490	Skimmia anquetilia	flower	flower	antioxidant activity	C1148564	D000975		Vol-25, P- 687, RIMP
491	Achillea millefolium	aerial part	aerial part	Hemostatic Agents	C0019120	D006490		Vol-1, P-55, WIRM
492	Acorus calamus	rhizome	rhizome	Sedatives	C0036557	D006993		Vol-1, P-64, WIRM
493	Acorus calamus	rhizome	rhizome	Analgesics		D000700		Vol-1, P-64, WIRM
494	Boswellia serrata	plant exudate	resin/gum	Anti-Bacterial Agents	C0279516	D000900		VOL-2,PAG-208, WIRM
495	Melaleuca citrina	leaf	leaf	Antifungal Agents	C0003308	D000935		VOL-3 ,PAG-65, WIRM
496	Melaleuca viminalis	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		VOL-3 ,PAG-65, WIRM
497	Celastrus paniculatus	seed	seed	Anti-Bacterial Agents	C0279516	D000900		VOL-3 ,PAG-412, WIRM
498	Ocimum americanum	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		VOL-7, PAG-81, WIRM
499	Tagetes minuta	flower	flower	Tranquilizing Agents	C0040614	D014149		VOL-10, pag-111, WIRM
500	Tagetes minuta	flower	flower	Hypotensive drug			XM4EP4	VOL-10, pag-111, WIRM
501	Tagetes minuta	flower	flower	Antispasmodics	C0037766	D010276		VOL-10, pag-111, WIRM
502	Tagetes minuta	flower	flower	Bronchodilator Agents	C0006280	D001993		VOL-10, pag-111, WIRM
503	Tagetes minuta	flower	flower	Anti-Inflammatory Agents	C0003209	D000893		VOL-10, pag-111, WIRM
504	Zanthoxylum armatum	seed	seed	Anti-Bacterial Agents	C0279516	D000900		vol-11, pag-21, WIRM
505	Erigeron bonariensis	aerial part	aerial part	Antifungal Agents	C0003308	D000935		vol-3,pag-87, WIRM_SUP_1
506	Tagetes erecta	leaf	leaf	Antifungal Agents	C0003308	D000935		vol-5 , pag-182, WIRM_SUP_1
507	Trachyspermum ammi	seed	seed	Antimicrobial activity function	C1321418	D000890		vol-5 , pag-242, WIRM_SUP_1
509	Trachyspermum ammi	seed	seed	Antifungal Agents	C0003308	D000935		vol-5 , pag-242, WIRM_SUP_1
510	Uvaria narum	root	root bark	Antimicrobial activity function	C1321418	D000890		vol-5 , pag-286, WIRM_SUP_1
511	Uvaria narum	root	root bark	Antihelmintics	C0003158	D000871	XM4EC0	vol-5 , pag-286, WIRM_SUP_1
512	Zingiber chrysanthum	rhizome	rhizome	Antifungal Agents	C0003308	D000935		vol-5 , pag-400, WIRM_SUP_1
513	Artemisia maritima	aerial part	aerial part	Antifungal Agents	C0003308	D000935		vol-1,pag-86, WIRM_SUP_2
514	Elwendia persica	seed	seed	Antidote	C0003295	D000931	XM1S43	vol-1,pag-120, WIRM_SUP_2
515	Hemidesmus indicus	root	root	Antifungal Agents	C0003308	D000935		vol-2, pag-43, WIRM_SUP_2
516	Wrightia tinctoria	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		vol-3, pag-251, WIRM_SUP_2
517	Cinnamomum verum	leaf	leaf	Antimicrobial activity function	C1321418	D000890		part-1.pag-204, GIMP
518	Cinnamomum verum	leaf	leaf	Antifungal Agents	C0003308	D000935		part-1.pag-204, GIMP
520	Cinnamomum verum	bark	bark	Antifungal Agents	C0003308	D000935		part-1.pag-204, GIMP
521	Piper cubeba	fruit	fruit	Anti-Infective Agents	C0003204	D000891		Vol-1, Pag-28, TIMP
522	Litsea glutinosa	fruit	fruit	Antirheumatic	C4505471		XM95N2	vol-1,pag-128, TIMP
